,Name,Location,Rank,Tuition and fees,Private,Apps,Accept,Acp_Rate(%),Starting Median Salary,Mid-Career Median Salary
0,Princeton University,"Princeton, NJ",1,"$45,320 ",Yes,13218.0,2042.0,15.45,"$66,500.00","$131,000.00"
1,Harvard University,"Cambridge, MA",2,"$47,074 ",Yes,13865.0,2165.0,15.61,"$63,400.00","$124,000.00"
2,University of Chicago,"Chicago, IL",3,"$52,491 ",Yes,6348.0,2999.0,47.24,"$68,100.00",
3,Yale University,"New Haven, CT",3,"$49,480 ",Yes,10705.0,2453.0,22.91,"$59,100.00","$126,000.00"
4,Columbia University,"New York, NY",5,"$55,056 ",Yes,6756.0,1930.0,28.57,"$59,400.00","$107,000.00"
5,Stanford University,"Stanford, CA",5,"$47,940 ",,,,4.81,"$94,000.00",
6,Massachusetts Institute of Technology,"Cambridge, MA",7,"$48,452 ",Yes,6411.0,2140.0,33.38,"$72,200.00","$126,000.00"
7,Duke University,"Durham, NC",8,"$51,265 ",Yes,13789.0,3893.0,28.23,"$84,400.00",
8,University of Pennsylvania,"Philadelphia, PA",8,"$51,464 ",Yes,12394.0,5232.0,42.21,"$60,900.00","$120,000.00"
9,Johns Hopkins University,"Baltimore, MD",10,"$50,410 ",Yes,8474.0,3446.0,40.67,"$73,200.00",
10,Dartmouth College,"Hanover, NH",11,"$51,438 ",Yes,8587.0,2273.0,26.47,"$58,000.00","$134,000.00"
11,California Institute of Technology,"Pasadena, CA",12,"$47,577 ",,,,8.07,"$75,500.00","$123,000.00"
12,Northwestern University,"Evanston, IL",12,"$50,855 ",Yes,12289.0,5200.0,42.31,"$69,000.00",
13,Brown University,"Providence, RI",14,"$51,367 ",Yes,12586.0,3239.0,25.73,"$56,200.00","$109,000.00"
14,Cornell University,"Ithaca, NY",15,"$50,953 ",,,,14.09,"$60,300.00","$110,000.00"
15,Rice University,"Houston, TX",15,"$43,918 ",,,,15.27,"$65,400.00",
16,University of Notre Dame,"Notre Dame, IN",15,"$49,685 ",Yes,7700.0,3700.0,48.05,"$78,400.00",
17,Vanderbilt University,"Nashville, TN",15,"$45,610 ",Yes,7791.0,4690.0,60.2,"$69,000.00",
18,Washington University in St. Louis,"St. Louis, MO",19,"$49,770 ",,,,16.53,"$70,100.00",
19,Emory University,"Atlanta, GA",20,"$47,954 ",Yes,8506.0,4168.0,49.0,"$66,000.00",
20,Georgetown University,"Washington, DC",20,"$50,547 ",Yes,11115.0,2881.0,25.92,"$93,500.00",
21,University of California--Berkeley,"Berkeley, CA",20,"$40,191 ",,,,16.93,"$64,700.00",
22,University of Southern California,"Los Angeles, CA",23,"$52,217 ",Yes,12229.0,8498.0,69.49,"$74,000.00",
23,Carnegie Mellon University,"Pittsburgh, PA",24,"$52,040 ",Yes,8728.0,5201.0,59.59,"$61,800.00","$111,000.00"
24,University of California--Los Angeles,"Los Angeles, CA",24,"$39,518 ",,,,17.99,"$60,700.00",
25,University of Virginia,"Charlottesville, VA",24,"$45,066 ",No,15849.0,5384.0,33.97,"$52,700.00","$103,000.00"
26,Tufts University,"Medford, MA",27,"$52,430 ",,,,14.29,"$75,800.00",
27,University of Michigan--Ann Arbor,"Ann Arbor, MI",27,"$43,476 ",,,,28.59,"$63,400.00",
28,Wake Forest University,"Winston-Salem, NC",27,"$49,308 ",Yes,5661.0,2392.0,42.25,"$63,800.00",
29,University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,"$33,916 ",,,,,,
30,Boston College,"Chestnut Hill, MA",31,"$51,296 ",,,,31.14,"$72,500.00",
31,College of William & Mary,"Williamsburg, VA",32,"$41,718 ",,,,,,
32,University of Rochester,"Rochester, NY",32,"$50,142 ",Yes,8766.0,5498.0,62.72,"$61,200.00",
33,Brandeis University,"Waltham, MA",34,"$51,570 ",Yes,4186.0,2743.0,65.53,"$57,900.00",
34,Georgia Institute of Technology,"Atlanta, GA",34,"$32,404 ",No,7837.0,4527.0,57.76,"$58,300.00","$106,000.00"
35,New York University,"New York, NY",36,"$49,062 ",Yes,13594.0,7244.0,53.29,"$61,900.00",
36,Case Western Reserve University,"Cleveland, OH",37,"$46,006 ",Yes,3877.0,3156.0,81.4,"$74,600.00",
37,University of California--Santa Barbara,"Santa Barbara, CA",37,"$40,704 ",,,,35.77,"$55,300.00",
38,Boston University,"Boston, MA",39,"$50,240 ",Yes,20192.0,13007.0,64.42,"$65,300.00",
39,Northeastern University,"Boston, MA",39,"$47,655 ",Yes,11901.0,8492.0,71.36,"$67,400.00",
40,Rensselaer Polytechnic Institute,"Troy, NY",39,"$50,797 ",Yes,4996.0,4165.0,83.37,"$61,100.00","$110,000.00"
41,Tulane University,"New Orleans, LA",39,"$51,010 ",Yes,7033.0,5125.0,72.87,,
42,University of California--Irvine,"Irvine, CA",39,"$39,458 ",,,,40.65,"$58,400.00",
43,Lehigh University,"Bethlehem, PA",44,"$48,320 ",Yes,6397.0,4304.0,67.28,"$81,900.00",
44,University of California--Davis,"Davis, CA",44,"$40,728 ",,,,42.28,"$58,200.00",
45,University of California--San Diego,"La Jolla, CA",44,"$41,387 ",,,,35.66,"$59,900.00",
46,University of Illinois--Urbana-Champaign,"Champaign, IL",44,"$31,320 ",,,,,,
47,University of Miami,"Coral Gables, FL",44,"$47,004 ",Yes,7122.0,5386.0,75.62,"$60,100.00",
48,University of Wisconsin--Madison,"Madison, WI",44,"$32,738 ",,,,52.62,"$48,900.00","$87,800.00"
49,Pepperdine University,"Malibu, CA",50,"$50,022 ",Yes,3821.0,2037.0,53.31,"$65,500.00",
50,University of Florida,"Gainesville, FL",50,"$28,666 ",No,12445.0,8836.0,71.0,"$47,100.00","$87,900.00"
51,University of Florida,"Gainesville, FL",50,"$28,666 ",No,12445.0,8836.0,71.0,"$47,100.00","$87,900.00"
52,Villanova University,"Villanova, PA",50,"$49,280 ",Yes,7759.0,5588.0,72.02,"$77,900.00",
53,Pennsylvania State University--University Park,"University Park, PA",50,"$32,382 ",,,,,,
54,Ohio State University--Columbus,"Columbus, OH",54,"$29,229 ",,,,,,
55,University of Washington,"Seattle, WA",54,"$34,791 ",No,12749.0,7025.0,55.1,"$48,800.00","$85,300.00"
56,George Washington University,"Washington, DC",56,"$51,950 ",Yes,7875.0,5062.0,64.28,"$69,600.00",
57,Southern Methodist University,"Dallas, TX",56,"$50,358 ",Yes,4301.0,3455.0,80.33,"$60,700.00",
58,University of Georgia,"Athens, GA",56,"$29,844 ",No,11220.0,7871.0,70.15,"$44,100.00","$86,000.00"
59,University of Georgia,"Athens, GA",56,"$29,844 ",No,11220.0,7871.0,70.15,"$44,100.00","$86,000.00"
60,University of Texas--Austin,"Austin, TX",56,"$34,676 ",,,,,"$49,700.00","$93,900.00"
61,University of Texas--Austin,"Austin, TX",56,"$34,676 ",,,,,"$49,700.00","$93,900.00"
62,Fordham University,"New York, NY",60,"$47,317 ",Yes,4200.0,2874.0,68.43,"$59,200.00",
63,Purdue University--West Lafayette,"West Lafayette, IN",60,"$28,804 ",,,,,,
64,Syracuse University,"Syracuse, NY",60,"$45,022 ",Yes,10477.0,7260.0,69.29,"$62,100.00",
65,University of Connecticut,"Storrs, CT",60,"$35,858 ",,,,49.1,"$48,000.00","$88,800.00"
66,University of Maryland--College Park,"College Park, MD",60,"$32,045 ",,,,48.06,"$62,900.00",
67,Worcester Polytechnic Institute,"Worcester, MA",60,"$46,994 ",Yes,2768.0,2314.0,83.6,"$61,000.00","$114,000.00"
68,Clemson University,"Clemson, SC",66,"$32,796 ",No,8065.0,5257.0,65.18,"$48,400.00","$86,000.00"
69,Yeshiva University,"New York, NY",66,"$40,670 ",,,,50.75,"$58,500.00",
70,Brigham Young University--Provo,"Provo, UT",68,"$5,300 ",,,,51.18,"$59,700.00",
71,University of Pittsburgh,"Pittsburgh, PA",68,"$29,758 ",,,,,,
72,Rutgers University--New Brunswick,"Piscataway, NJ",70,"$30,023 ",,,,58.9,"$57,900.00",
73,Baylor University,"Waco, TX",71,"$42,006 ",Yes,6075.0,5349.0,88.05,"$51,600.00",
74,Stevens Institute of Technology,"Hoboken, NJ",71,"$48,838 ",Yes,1768.0,1249.0,70.64,"$60,600.00","$105,000.00"
75,University of Minnesota--Twin Cities,"Minneapolis, MN",71,"$22,210 ",No,11054.0,6397.0,57.87,"$51,900.00",
76,American University,"Washington, DC",74,"$44,853 ",,,,25.91,"$61,000.00",
77,Clark University,"Worcester, MA",74,"$43,150 ",Yes,2887.0,2059.0,71.32,"$49,100.00",
78,Texas A&M University--College Station,"College Station, TX",74,"$28,768 ",,,,67.17,"$58,000.00",
